PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,48:ee:0c:ec:56:26,D-Link International,WayYardCCTV
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,48:ee:0c:ec:56:26,D-Link International,WayYardCCTV
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,48:ee:0c:ec:56:26,D-Link International,WayYardCCTV
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,48:ee:0c:ec:56:26,D-Link International,WayYardCCTV
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,04:f0:21:17:e7:e0,Compex Systems Pte Ltd,CRCLCCTV
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,04:f0:21:17:e7:e0,Compex Systems Pte Ltd,CRCLCCTV
AP-BEC,2018-08-10 13:35:08,52.4787,-1.892,BSSID,dc:72:9b:ad:59:78,Huawei Technologies Co.Ltd,VodafoneMobileWiFi-597815
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,da:a1:19:70:77:80,Google Inc.,Broadcast
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,da:a1:19:70:77:80,Google Inc.,Hidden SSID
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,da:a1:19:70:77:80,Google Inc.,Broadcast
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,da:a1:19:70:77:80,Google Inc.,Hidden SSID
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,fa:d2:30:07:ec:9b,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,fa:d2:30:07:ec:9b,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Wifi+
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Wifi+
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),O2 Wifi.1x
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),O2 Wifi.1x
PR-REQ,2018-08-10 13:35:08,52.4787,-1.892,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Wifi+
AP-RES,2018-08-10 13:35:08,52.4787,-1.892,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Wifi+
PR-REQ,2018-08-10 13:35:09,52.4787,-1.892,Client,da:a1:19:12:90:7a,Google Inc.,Broadcast
AP-RES,2018-08-10 13:35:09,52.4787,-1.892,Client,da:a1:19:12:90:7a,Google Inc.,Hidden SSID
PR-REQ,2018-08-10 13:35:10,52.479,-1.8917,Client,ce:43:bf:f9:04:15,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:10,52.479,-1.8917,Client,ce:43:bf:f9:04:15,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:10,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-10 13:35:10,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Hidden SSID
PR-REQ,2018-08-10 13:35:16,52.479,-1.8917,Client,da:a1:19:0d:8a:3e,Google Inc.,Broadcast
AP-RES,2018-08-10 13:35:16,52.479,-1.8917,Client,da:a1:19:0d:8a:3e,Google Inc.,Hidden SSID
PR-REQ,2018-08-10 13:35:16,52.479,-1.8917,Client,e6:f9:36:ea:25:7b,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:16,52.479,-1.8917,Client,e6:f9:36:ea:25:7b,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:16,52.479,-1.8917,Client,6a:f1:5e:74:46:95,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:16,52.479,-1.8917,Client,6a:f1:5e:74:46:95,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-10 13:35:17,52.479,-1.8917,BSSID,84:24:8d:1f:13:47,Zebra Technologies Inc,ZSelfridgesClickDespatch
PR-REQ,2018-08-10 13:35:17,52.479,-1.8917,Client,00:1e:c0:35:41:94,Microchip Technology Inc.,iViu_Traffic
AP-BEC,2018-08-10 13:35:17,52.479,-1.8917,BSSID,f0:9f:c2:31:a7:af,Ubiquiti Networks Inc.,iViu_Traffic
PR-REQ,2018-08-10 13:35:17,52.479,-1.8917,Client,6a:f1:5e:74:46:95,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:17,52.479,-1.8917,Client,6a:f1:5e:74:46:95,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:18,52.479,-1.8917,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Wifi+
AP-RES,2018-08-10 13:35:18,52.479,-1.8917,Client,4c:66:41:ec:9e:aa,Samsung Electro-Mechanics(Thailand),Wifi+
PR-REQ,2018-08-10 13:35:18,52.479,-1.8917,Client,d2:76:5a:88:a3:aa,Unknown Vendor,Broadcast
AP-RES,2018-08-10 13:35:18,52.479,-1.8917,Client,d2:76:5a:88:a3:aa,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-10 13:35:19,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Broadcast
AP-RES,2018-08-10 13:35:19,52.479,-1.8917,Client,10:07:b6:9e:a7:e4,Samsung Electronics Co.Ltd,Hidden SSID
PR-REQ,2018-08-10 13:35:19,52.479,-1.8917,Client,14:1f:78:21:bb:de,Samsung Electronics Co.Ltd,_The Cloud
AP-RES,2018-08-10 13:35:19,52.479,-1.8917,Client,14:1f:78:21:bb:de,Samsung Electronics Co.Ltd,_The Cloud
