AP-RES,2018-08-14 13:27:18,52.4365,-1.9142,Client,92:8d:3a:92:62:0e,Unknown Vendor,Hidden SSID
PR-REQ,2018-08-14 13:27:18,52.4365,-1.9142,Client,92:8d:3a:92:62:0e,Unknown Vendor,Broadcast
AP-RES,2018-08-14 13:27:18,52.4365,-1.9142,Client,92:8d:3a:92:62:0e,Unknown Vendor,Hidden SSID
AP-BEC,2018-08-14 13:27:19,52.4365,-1.9142,BSSID,74:44:01:f3:5e:a4,Netgear,virginmedia7555483
AP-BEC,2018-08-14 13:27:38,52.4365,-1.9142,BSSID,58:b3:fc:94:e6:0f,Shenzhen Rf-Link Technology Co.Ltd.,B1W_58b3fc94e60f
PR-REQ,2018-08-14 13:27:38,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:38,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:38,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:38,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:45,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:45,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:46,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:46,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:46,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:46,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:47,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:47,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
PR-REQ,2018-08-14 13:27:47,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Broadcast
AP-RES,2018-08-14 13:27:47,52.4365,-1.9142,Client,48:f0:7b:e4:de:78,Alps Electric Co.Ltd.,Hidden SSID
