PR-REQ,2018-08-08 12:42:57,52.4383,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-RES,2018-08-08 12:42:57,52.4383,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
PR-REQ,2018-08-08 12:42:57,52.4383,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-RES,2018-08-08 12:42:57,52.4383,-1.9143,Client,58:20:b1:22:d7:69,Hewlett Packard,VM125596-2G
AP-BEC,2018-08-08 12:42:59,52.4383,-1.9143,BSSID,d0:05:2a:67:16:ca,Arcadyan Corporation,EE-tpmdcp
PR-REQ,2018-08-08 12:43:05,52.4386,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:05,52.4386,-1.9143,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
AP-BEC,2018-08-08 12:43:15,52.4386,-1.9142,BSSID,48:8d:36:b5:73:c7,Arcadyan Corporation,EE-b5yayk
PR-REQ,2018-08-08 12:43:17,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-08 12:43:17,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-08 12:43:17,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:17,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:18,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
AP-RES,2018-08-08 12:43:18,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
PR-REQ,2018-08-08 12:43:18,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Broadcast
AP-RES,2018-08-08 12:43:18,52.4386,-1.9142,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,Hidden SSID
PR-REQ,2018-08-08 12:43:20,52.4385,-1.914,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-RES,2018-08-08 12:43:20,52.4385,-1.914,Client,c0:18:85:e4:44:93,Hon Hai Precision Ind. Co.Ltd.,VM9246577
AP-BEC,2018-08-08 12:43:27,52.4385,-1.914,BSSID,48:d3:43:c9:31:d9,Arris Group Inc.,VM9572040
PR-REQ,2018-08-08 12:43:28,52.4385,-1.914,Client,bc:30:7d:56:d0:a4,Wistron Neweb Corporation,SKYA16A8
