AP-RES,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
PR-REQ,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
AP-RES,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,VM3077408
PR-REQ,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
PR-REQ,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
PR-REQ,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Broadcast
AP-RES,2018-08-06 12:54:48,52.4387,-1.9144,Client,48:d6:d5:31:5e:fa,Google Inc.,Hidden SSID
PR-REQ,2018-08-06 12:54:49,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:54:49,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:54:56,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:54:56,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:54:57,52.4387,-1.9144,Client,00:18:de:e0:d1:b2,Intel Corporate,Broadcast
AP-RES,2018-08-06 12:54:57,52.4387,-1.9144,Client,00:18:de:e0:d1:b2,Intel Corporate,Hidden SSID
PR-REQ,2018-08-06 12:54:57,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:54:57,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:55:01,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:55:01,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:55:08,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
AP-RES,2018-08-06 12:55:08,52.4387,-1.9144,Client,5c:aa:fd:0f:8f:51,Sonos Inc.,Sonos_6xjI4UAl4ELxghilJxAj1LQYx2
PR-REQ,2018-08-06 12:55:16,52.4387,-1.9144,Client,1a:9f:6d:2a:1c:9f,Unknown Vendor,Broadcast
