AP-BEC,29/07/2018 14:35,52.4797,-1.8927,BSSID,50:0f:80:51:1c:43,Cisco Systems Inc,WRetailer
PR-REQ,2018-07-29 14:35:02,52.4796,-1.8928,Client,9a:81:99:42:bb:75,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:02,52.4796,-1.8928,Client,9a:81:99:42:bb:75,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:04,52.4796,-1.8928,Client,8a:4e:ab:fe:b7:54,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:04,52.4796,-1.8928,Client,8a:4e:ab:fe:b7:54,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:05,52.4796,-1.8928,Client,6a:bb:52:76:5b:25,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:05,52.4796,-1.8928,Client,6a:bb:52:76:5b:25,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:05,52.4796,-1.8928,Client,22:00:a3:a9:0f:c8,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:05,52.4796,-1.8928,Client,22:00:a3:a9:0f:c8,Unknown Vendor,Hidden SSID
AP-BEC,2018-07-29 14:35:05,52.4796,-1.8928,BSSID,00:30:44:18:2a:76,Cradlepoint Inc,2_mooh_media
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,fe:5c:f6:29:4e:cc,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,fe:5c:f6:29:4e:cc,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,6e:3f:b6:cd:64:7d,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,6e:3f:b6:cd:64:7d,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,0e:8d:fb:dc:ac:50,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,0e:8d:fb:dc:ac:50,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,fa:16:c6:97:8c:c4,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,fa:16:c6:97:8c:c4,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,00:ae:fa:46:7e:f5,Murata Manufacturing Co. Ltd.,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,00:ae:fa:46:7e:f5,Murata Manufacturing Co. Ltd.,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,ee:a9:28:8c:7f:3b,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,ee:a9:28:8c:7f:3b,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,86:7d:24:30:71:a8,Unknown Vendor,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,86:7d:24:30:71:a8,Unknown Vendor,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,3c:e0:72:ce:2f:bb,Apple Inc.,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,3c:e0:72:ce:2f:bb,Apple Inc.,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,38:0f:4a:27:df:1c,Apple Inc.,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,38:0f:4a:27:df:1c,Apple Inc.,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,40:b8:37:ac:c4:f1,Sony Mobile Communications Ab,Broadcast
AP-RES,2018-07-29 14:35:06,52.4796,-1.8928,Client,40:b8:37:ac:c4:f1,Sony Mobile Communications Ab,Hidden SSID
PR-REQ,2018-07-29 14:35:06,52.4796,-1.8928,Client,da:da:e0:39:f5:06,Unknown Vendor,Broadcast
